word,mean_attr,count
ed,0.019752405933104455,14
bene,0.019744398072361946,4
y,0.01946457359008491,6
bitter,0.019187828712165355,10
his,0.019156138723095257,3
influences,0.019113196215281885,6
end,0.019076243881136178,5
exposed,0.018803162034600973,4
also,0.01859854848589748,12
cherished,0.01839882042258978,3
ating,0.01837113018458088,3
a,0.018071989129541145,428
corresponding,0.01790132327005267,4
could,0.017884535548676337,7
demeanor,0.017792878362039726,3
any,0.017645218254377443,6
act,0.017555774888023734,4
humble,0.017302544166644413,3
so,0.017267621161105733,6
enting,0.017265517458630104,12
behind,0.017196666449308395,6
strong,0.01712952432437585,13
character,0.017127727796988828,35
belong,0.01689715962857008,3
influence,0.016757652961782048,7
revealed,0.01673782616853714,4
ably,0.016426184188781515,9
respectable,0.016375853990515072,3
indifference,0.016323870555921036,11
under,0.016320673748850822,4
trust,0.016232213377952574,5
entirely,0.01615617973729968,10
mild,0.015928514301776886,3
iously,0.015909661849339802,3
true,0.01577489664433179,27
ldom,0.015682151320537453,19
entertained,0.015587624084825316,6
ity,0.015544374162952105,3
home,0.015103434736374766,8
motivated,0.015101799857802689,4
capable,0.015038279195626577,3
some,0.01474800519645214,3
loss,0.01419305375644139,7
ited,0.014185863081365824,4
has,0.014134330675005913,3
opinion,0.013933146682878336,6
who,0.013832697475498373,11
deep,0.013820795264715949,6
moderate,0.013795968455572924,3
value,0.013777591288089752,4
qualities,0.01365200339932926,8
torn,0.013594469928648323,4
surround,0.013277951627969742,3
emotion,0.013148785956824819,3
passions,0.01314583420753479,4
gu,0.013088968931697309,8
practical,0.012843197397887706,5
high,0.012816084316000342,4
the,0.012516862486053968,641
ard,0.012515139183960855,4
endure,0.012304600328207016,3
only,0.01221526216249913,4
such,0.012006194260902704,10
seldom,0.011852754900852839,9
give,0.011784114098797241,3
mit,0.011660530231893063,5
euph,0.011607989824066559,3
reputation,0.011589404505987963,9
domestic,0.011471730336779729,8
ished,0.011257564493765434,6
an,0.01119511438987385,39
quiet,0.01089490957868596,12
desp,0.010676131583750248,3
memory,0.010659359209239484,5
individuality,0.010599179193377495,3
is,0.010297021054707112,210
where,0.010133143980056047,3
position,0.0100923425052315,4
ulnerability,0.009971903171390295,4
actions,0.009952022980612058,13
resilience,0.009817274597783884,3
distinct,0.009804765693843365,9
ined,0.009571780916303396,3
motives,0.00927993431687355,5
encounter,0.009025606870030364,3
aken,0.009009174071252346,3
estate,0.008953149275233349,6
distant,0.00889108469709754,4
es,0.008890710864216089,5
judgement,0.008761825039982796,3
elevate,0.008692167745903135,5
ation,0.008657659636810422,4
